station_code,lowest_name
11000000,서울특별시
11110000,종로구
11110101,청운동
11110102,신교동
11110103,궁정동
11110104,효자동
11110105,창성동
11110106,통의동
11110107,적선동
11110108,통인동
11110109,누상동
11110110,누하동
11110111,옥인동
11110112,체부동
11110113,필운동
11110114,내자동
11110115,사직동
11110116,도렴동
11110117,당주동
11110118,내수동
11110119,세종로
11110120,신문로1가
11110121,신문로2가
11110122,청진동
11110123,서린동
11110124,수송동
11110125,중학동
11110126,종로1가
11110127,공평동
11110128,관훈동
11110129,견지동
11110130,와룡동
11110131,권농동
11110132,운니동
11110133,익선동
11110134,경운동
11110135,관철동
11110136,인사동
11110137,낙원동
11110138,종로2가
11110139,팔판동
11110140,삼청동
11110141,안국동
11110142,소격동
11110143,화동
11110144,사간동
11110145,송현동
11110146,가회동
11110147,재동
11110148,계동
11110149,원서동
11110150,훈정동
11110151,묘동
11110152,봉익동
11110153,돈의동
11110154,장사동
11110155,관수동
11110156,종로3가
11110157,인의동
11110158,예지동
11110159,원남동
11110160,연지동
11110161,종로4가
11110162,효제동
11110163,종로5가
11110164,종로6가
11110165,이화동
11110166,연건동
11110167,충신동
11110168,동숭동
11110169,혜화동
11110170,명륜1가
11110171,명륜2가
11110172,명륜4가
11110173,명륜3가
11110174,창신동
11110175,숭인동
11110176,교남동
11110177,평동
11110178,송월동
11110179,홍파동
11110180,교북동
11110181,행촌동
11110182,구기동
11110183,평창동
11110184,부암동
11110185,홍지동
11110186,신영동
11110187,무악동
11140000,중구
11140101,무교동
11140102,다동
11140103,태평로1가
11140104,을지로1가
11140105,을지로2가
11140106,남대문로1가
11140107,삼각동
11140108,수하동
11140109,장교동
11140110,수표동
11140111,소공동
11140112,남창동
11140113,북창동
11140114,태평로2가
11140115,남대문로2가
11140116,남대문로3가
11140117,남대문로4가
11140118,남대문로5가
11140119,봉래동1가
11140120,봉래동2가
11140121,회현동1가
11140122,회현동2가
11140123,회현동3가
11140124,충무로1가
11140125,충무로2가
11140126,명동1가
11140127,명동2가
11140128,남산동1가
11140129,남산동2가
11140130,남산동3가
11140131,저동1가
11140132,충무로4가
11140133,충무로5가
11140134,인현동2가
11140135,예관동
11140136,묵정동
11140137,필동1가
11140138,필동2가
11140139,필동3가
11140140,남학동
11140141,주자동
11140142,예장동
11140143,장충동1가
11140144,장충동2가
11140145,광희동1가
11140146,광희동2가
11140147,쌍림동
11140148,을지로6가
11140149,을지로7가
11140150,을지로4가
11140151,을지로5가
11140152,주교동
11140153,방산동
11140154,오장동
11140155,을지로3가
11140156,입정동
11140157,산림동
11140158,충무로3가
11140159,초동
11140160,인현동1가
11140161,저동2가
11140162,신당동
11140163,흥인동
11140164,무학동
11140165,황학동
11140166,서소문동
11140167,정동
11140168,순화동
11140169,의주로1가
11140170,충정로1가
11140171,중림동
11140172,의주로2가
11140173,만리동1가
11140174,만리동2가
11170000,용산구
11170101,후암동
11170102,용산동2가
11170103,용산동4가
11170104,갈월동
11170105,남영동
11170106,용산동1가
11170107,동자동
11170108,서계동
11170109,청파동1가
11170110,청파동2가
11170111,청파동3가
11170112,원효로1가
11170113,원효로2가
11170114,신창동
11170115,산천동
11170116,청암동
11170117,원효로3가
11170118,원효로4가
11170119,효창동
11170120,도원동
11170121,용문동
11170122,문배동
11170123,신계동
11170124,한강로1가
11170125,한강로2가
11170126,용산동3가
11170127,용산동5가
11170128,한강로3가
11170129,이촌동
11170130,이태원동
11170131,한남동
11170132,동빙고동
11170133,서빙고동
11170134,주성동
11170135,용산동6가
11170136,보광동
11200000,성동구
11200101,상왕십리동
11200102,하왕십리동
11200103,홍익동
11200104,도선동
11200105,마장동
11200106,사근동
11200107,행당동
11200108,응봉동
11200109,금호동1가
11200110,금호동2가
11200111,금호동3가
11200112,금호동4가
11200113,옥수동
11200114,성수동1가
11200115,성수동2가
11200118,송정동
11200122,용답동
11215000,광진구
11215101,중곡동
11215102,능동
11215103,구의동
11215104,광장동
11215105,자양동
11215107,화양동
11215109,군자동
11230000,동대문구
11230101,신설동
11230102,용두동
11230103,제기동
11230104,전농동
11230105,답십리동
11230106,장안동
11230107,청량리동
11230108,회기동
11230109,휘경동
11230110,이문동
11260000,중랑구
11260101,면목동
11260102,상봉동
11260103,중화동
11260104,묵동
11260105,망우동
11260106,신내동
11290000,성북구
11290101,성북동
11290102,성북동1가
11290103,돈암동
11290104,동소문동1가
11290105,동소문동2가
11290106,동소문동3가
11290107,동소문동4가
11290108,동소문동5가
11290109,동소문동6가
11290110,동소문동7가
11290111,삼선동1가
11290112,삼선동2가
11290113,삼선동3가
11290114,삼선동4가
11290115,삼선동5가
11290116,동선동1가
11290117,동선동2가
11290118,동선동3가
11290119,동선동4가
11290120,동선동5가
11290121,안암동1가
11290122,안암동2가
11290123,안암동3가
