station_name,station_code
가남읍,41670250
가덕면,43111330
가야읍,48730250
가평,41820000
가평군,41820000
가흥동,47210105
간성읍,51820250
갈말읍,51780256
감물면,43760310
강구면,47770310
강남구,11680000
강동구,11740000
강릉시,51150000
강북구,11305000
강서구,26440000
강정동,50130116
강진군,46810000
강진읍,46810250
강화군,28710000
개금동,26230111
거제시,48310000
거창군,48880000
거창읍,48880250
경산시,47290000
경안동,41610101
경주시,47130000
경화동,48129139
계룡시,44250000
계양구,28245000
계화면,52800340
고덕동,41220128
고덕면(충남),44810380
고령군,47830000
고산리,51130320
고산면,52710360
고색동,41113128
고성(DMZ),51820000
고성군,51820000
고성읍,48820250
고양시,41280000
고잔동,41273101
고창군,52790000
고창읍,52790250
고천동,41430101
고촌읍,41570253
고현동,48310109
고흥군,46770000
고흥읍,46770250
곡성군,46720000
곡성읍,46720250
공단동,47190113
공도읍,41550250
공주,44150000
공주시,44150000
과천동,41290105
과천시,41290000
관악구,11620000
관인면,41650400
관촌면,52750380
관평동,30200146
광명시,41210000
광산구,29200000
광안동,26500104
광양시,46230000
광양읍,46230250
광주,41610000
광주시,41610000
광진구,11215000
광활면,52210460
괴산군,43760000
괴산읍,43760250
교문동,41310104
구례군,46730000
구례읍,46730250
구로구,11530000
구리시,41310000
구미시,47190000
구성동,44131108
구월동,28200101
구이면,52710350
군산시,52130000
군위군,27720000
군위읍,27720250
군포시,41410000
금곡동,47170126
금마면,52140400
금산군,44710000
금산읍,44710250
금성면,48850420
금정구,26410000
금천구,11545000
금촌동,41480101
금호동,51210104
기장군,26710000
기장읍,26710250
기흥,41463000
김량장동,41461101
김제시,52210000
김천시,47150000
김포시,41570000
김해시,48250000
나주시,46170000
남구,47111000
남동,44200119
남동구,28200000
남상면,48880370
남양읍,41590262
남양주시,41360000
남원시,52190000
남원읍,50130253
남해군,48840000
남해읍,48840250
내당동,27170101
내동,51170122
내서읍,48127250
내일동,48270101
노대동,29155107
노원구,11350000
노은동,30200119
녹산동,26440111
논산,44230000
논산시,44230000
농성동,29140106
농소동,52180106
다사읍,27710256
단대동,41131104
단성면,48860370
단양군,43800000
단양읍,43800250
달서구,27290000
달성군,27710000
담양군,46710000
담양읍,46710250
당동,48220114
당리동,26380102
당진시,44270000
대가야읍,47830253
대광동,47150117
대덕구,30230000
대도동,47111102
대명동,52130127
대산리,52770380
대산면,52790380
대성동,52111143
대송면,47111310
대신동,47113109
대신면,41670350
대안동,48170109
대야동,41390101
대연동,26290106
대정읍,50130250
덕산읍,43750253
덕신리,52800380
덕천동,26320104
덕충동,46130126
덕포동,48310107
도고면,44200400
도봉구,11320000
도안면,43745310
독곶리,44210250
동구,31170000
동대문구,11230000
동두천시,41250000
동래구,26260000
동문동,47170111
동상동,48250101
동작구,11590000
동해시,51170000
동홍동,50130105
두암동,29170114
둔산동,30170112
둔포면,44200360
마포구,11440000
만촌동,27260102
매포읍,43800253
명륜동,51130106
명서동,48121124
명장동,26260101
명지동,43150122
모종동,44200113
모현읍,41461253
목감동,41390126
목포시,46110000
무거동,31140101
무안군,46840000
무안읍,46840250
무전동,48220111
무주군,52730000
무주읍,52730250
문경시,47280000
문막읍,51130250
문수동,46130120
문창동,30140106
문평동,30230113
물금읍,48330253
미추홀구,28177000
밀양시,48270000
반곡동(명륜동),51130117
방산면,51800330
배곧동,41390135
배방읍,44200253
백석동,44133103
백석읍,41630250
백암면,41461350
벌교읍,46780253
범서읍,31710259
별내동,41360111
별양동,41290109
보람동,36110103
보령시,44180000
보산동,46170109
보성군,46780000
보성읍,46780250
보은군,43720000
보은읍,43720250
복대동,43113114
복운리,44270253
복정동,41131107
본동,27290124
본오동,41271104
봉강면,46230310
봉담읍,41590253
봉동읍,52710253
봉명동,44131113
봉산동,51130113
봉암동,48127103
봉화군,47920000
부강면,36110330
부곡동(울산),51170110
부림동,48125117
부발읍,41500253
부산진구,26230000
부안군,52800000
부안읍,52800250
부여군,44760000
부여읍,44760250
부천시,41190000
부평,28237000
부평구,28237000
부흥동,48129127
북구,47113000
북부동,48330104
북평면,51770340
비응도동,52130148
비전동,41220118
빛가람동,46170134
사곡면,47730340
사상구,26530000
사우동,41570106
사정동,52130140
사천동,43114104
사천시,48240000
사천읍,48240250
사파동,48123130
사하구,26380000
산격동,27230111
산남동,43112104
산본동,41410104
산청군,48860000
산청읍,48860250
살미면,43130310
삼기면,52140430
삼남읍,31710265
삼락동,47150110
삼방동,48250119
삼산동,52180110
삼척시,51230000
삼천동,51110125
삼호동,48330114
삽교읍,44810253
상남리,51810350
상대동(대전),48170119
상대동(진주),48170119
상대원동,41133105
상리,52210330
상봉동,48170114
상주시,47250000
새솔동,41590140
서구,30170000
서귀포시,50130000
서대문구,11410000
서면,51830310
서변동,27230115
서산시,44210000
서석동,29110118
서신동,52111129
서신면,41590350
서천군,44770000
서천읍,44770253
서초구,11650000
서호동,50130103
석모리,41570256
석포면,47920390
선단동,41650104
선암동,31140109
설성면,41500370
설악면,41820310
성거읍,44133253
성건동,47130108
성남동,51230119
성남시,41130000
성동구,11200000
성동면,44230310
성북구,11290000
성산읍,50130259
성성동,44133105
성연면,44210360
성주군,47840000
성주동,48123128
성황동,46230104
소룡동,52130146
소사본동,41194101
소이면,43770310
소하동,41210104
속초시,51210000
송단리,46790395
송도동,47111104
송산면,44270390
송악면,44200310
송정동,51170103
송천동,47170137
송파구,11710000
송학면,43150380
수내동,41135102
수성구,27260000
수영구,26500000
수원시,41110000
수정동,48170116
수지,41465000
수창동,27110130
순창군,52770000
순창읍,52770250
순천시,46150000
시지동,27260114
시흥시,41390000
식사동,41285101
신방동,44131116
신안군,46910000
신암동,27140101
신원동,41281103
신장동,41450106
신정동,52190109
신지면,46890320
신풍동,52210102
신풍동(군산),52210102
신흥동,52140124
심원면,52790390
아름동,36110113
아산시,44200000
아주동,48310105
안강읍,47130253
안계면,47730430
안계면(교외),47730430
안동시,47170000
안산시,41270000
안성면,52730340
안성시,41550000
안양시,41170000
애월읍,50110253
약사동,51110111
양구군,51800000
양구읍,51800250
양덕동,48127105
양산시,48330000
양양군,51830000
양양읍,51830250
양주시,41630000
양천구,11470000
양평군,41830000
양평읍,41830250
엄사면,44250315
여산면,52140390
여수시,46130000
여의동,52113130
여주시,41670000
여천동(여수),47290121
여천동(울산),47290121
연동,50110137
연무읍,44230253
연산동,46110103
연수구,28185000
연일읍,47111253
연제구,26470000
연지동,52180105
연천,41800000
연천(DMZ),41800000
연천군,41800000
연향동,46150114
연호동,27260123
영광군,46870000
영광읍,46870250
영덕군,47770000
영덕읍,47770250
