station_code,stationName
41670250,가남읍
43111330,가덕면
48730250,가야읍
41820000,가평
41820000,가평군
47210105,가흥동
51820250,간성읍
51780256,갈말읍
43760310,감물면
47770310,강구면
11680000,강남구
11740000,강동구
51150000,강릉시
11305000,강북구
26440000,강서구
50130116,강정동
46810000,강진군
46810250,강진읍
28710000,강화군
26230111,개금동
48310000,거제시
48880000,거창군
48880250,거창읍
47290000,경산시
41610101,경안동
47130000,경주시
48129139,경화동
44250000,계룡시
28245000,계양구
52800340,계화면
41220128,고덕동
44810380,고덕면(충남)
47830000,고령군
51130320,고산리
52710360,고산면
41113128,고색동
51820000,고성(DMZ)
51820000,고성군
48820250,고성읍
41280000,고양시
41273101,고잔동
52790000,고창군
52790250,고창읍
41430101,고천동
41570253,고촌읍
48310109,고현동
46770000,고흥군
46770250,고흥읍
46720000,곡성군
46720250,곡성읍
47190113,공단동
41550250,공도읍
44150000,공주
44150000,공주시
41290105,과천동
41290000,과천시
11620000,관악구
41650400,관인면
52750380,관촌면
30200146,관평동
41210000,광명시
29200000,광산구
26500104,광안동
46230000,광양시
46230250,광양읍
41610000,광주
41610000,광주시
11215000,광진구
52210460,광활면
43760000,괴산군
43760250,괴산읍
41310104,교문동
46730000,구례군
46730250,구례읍
11530000,구로구
41310000,구리시
47190000,구미시
44131108,구성동
28200101,구월동
52710350,구이면
52130000,군산시
27720000,군위군
27720250,군위읍
41410000,군포시
47170126,금곡동
52140400,금마면
44710000,금산군
44710250,금산읍
48850420,금성면
26410000,금정구
11545000,금천구
41480101,금촌동
51210104,금호동
26710000,기장군
26710250,기장읍
41463000,기흥
41461101,김량장동
52210000,김제시
47150000,김천시
41570000,김포시
48250000,김해시
46170000,나주시
47111000,남구
44200119,남동
28200000,남동구
48880370,남상면
41590262,남양읍
41360000,남양주시
52190000,남원시
50130253,남원읍
48840000,남해군
48840250,남해읍
27170101,내당동
51170122,내동
48127250,내서읍
48270101,내일동
29155107,노대동
11350000,노원구
30200119,노은동
26440111,녹산동
44230000,논산
44230000,논산시
29140106,농성동
52180106,농소동
27710256,다사읍
41131104,단대동
48860370,단성면
43800000,단양군
43800250,단양읍
27290000,달서구
27710000,달성군
46710000,담양군
46710250,담양읍
48220114,당동
26380102,당리동
44270000,당진시
47830253,대가야읍
47150117,대광동
30230000,대덕구
47111102,대도동
52130127,대명동
52770380,대산리
52790380,대산면
52111143,대성동
47111310,대송면
47113109,대신동
41670350,대신면
48170109,대안동
41390101,대야동
26290106,대연동
50130250,대정읍
43750253,덕산읍
52800380,덕신리
26320104,덕천동
46130126,덕충동
48310107,덕포동
44200400,도고면
11320000,도봉구
43745310,도안면
44210250,독곶리
31170000,동구
11230000,동대문구
41250000,동두천시
26260000,동래구
47170111,동문동
48250101,동상동
11590000,동작구
51170000,동해시
50130105,동홍동
29170114,두암동
30170112,둔산동
44200360,둔포면
11440000,마포구
27260102,만촌동
43800253,매포읍
51130106,명륜동
48121124,명서동
26260101,명장동
